,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,432,432,2,398.93132328308207,591.9765494137354,597,435,11,False,0
1,433,433,2,419.258064516129,589.431899641577,558,436,11,False,0
2,434,434,2,423.8878048780488,610.6048780487805,615,437,11,False,0
3,435,435,2,407.35483870967744,626.8955453149001,651,438,11,False,0
4,436,436,2,384.3580060422961,615.0664652567975,662,439,11,False,0
5,437,437,2,391.3333333333333,591.8357963875205,609,440,11,False,0
6,438,438,2,406.3760984182777,602.4217926186292,569,441,11,False,0
7,439,439,2,402.625,625.3441558441558,616,442,11,False,0
8,440,440,2,378.590782122905,632.7472067039106,716,443,11,False,0
9,441,441,2,362.5369822485207,612.5887573964498,676,444,11,False,0
10,442,442,2,378.59150326797385,602.8921568627451,612,445,11,False,0
11,443,443,2,390.2780337941628,620.0522273425499,651,446,11,False,0
