id,x,y,size,frame,track,ignore,track_fixed
1,908.4115044247787,16.31858407079646,226,3,1,FALSE,4
1,902.767537826685,33.4828060522696,727,4,1,FALSE,4
1,895.7118927973199,49.22361809045226,1194,5,1,FALSE,4
1,879.810970464135,66.19915611814346,1185,6,1,FALSE,4
1,859.9982698961937,83.29671280276817,1156,7,1,FALSE,4
1,840.303946263644,99.38287153652394,1191,8,2,FALSE,4
1,819.992294520548,114.11215753424658,1168,9,3,FALSE,4
1,800.463891248938,128.8266779949023,1177,10,4,FALSE,4
1,782.8103741496599,142.60969387755102,1176,11,5,FALSE,4
1,764.8199492814878,155.75824175824175,1183,12,6,FALSE,4
1,748.1662468513854,168.30310663308146,1191,13,6,FALSE,4
1,732.2460251046025,180.44518828451882,1195,14,6,FALSE,4
1,715.3758333333334,192.35583333333332,1200,15,6,FALSE,4
1,698.5878938640133,203.94776119402985,1206,16,6,FALSE,4
1,682.1398834304746,215.64196502914237,1201,17,6,FALSE,4
1,664.9419568822553,226.075456053068,1206,18,6,FALSE,4
1,646.5237302248127,235.64862614487927,1201,19,6,FALSE,4
1,626.9037162162163,246.16807432432432,1184,20,6,FALSE,4
1,606.0764063811923,255.85474391267843,1191,21,6,FALSE,4
1,583.9564489112228,265.15410385259634,1194,22,7,FALSE,4
2,560.048231511254,273.0876205787781,1244,23,8,FALSE,4
2,537.1954022988506,280.36863711001644,1218,24,9,FALSE,4
2,515.8152350081037,287.1863857374392,1234,25,9,FALSE,4
2,492.6131147540984,293.827868852459,1220,26,9,FALSE,4
2,471.06661251015436,299.33468724614136,1231,27,9,FALSE,4
2,449.2220408163265,305.1567346938775,1225,28,9,FALSE,4
1,426.8563122923588,309.8330564784053,1204,29,9,FALSE,4
1,404.81596638655463,313.42605042016805,1190,30,9,FALSE,4
1,382.9825291181364,316.4134775374376,1202,31,9,FALSE,4
1,360.9557595993322,318.3238731218698,1198,32,9,FALSE,4
1,339.8358333333333,320.8591666666667,1200,33,9,FALSE,4
2,318.8650406504065,322.9146341463415,1230,34,9,FALSE,4
2,297.3478260869565,323.8867924528302,1219,35,9,FALSE,4
1,274.74257425742576,323.8943894389439,1212,36,9,FALSE,4
1,252.56718878812862,323.05853256389116,1213,37,9,FALSE,4
2,229.99588815789474,321.63486842105266,1216,38,9,FALSE,4
2,207.00656275635768,319.7842493847416,1219,39,9,FALSE,4
1,183.96591853699087,317.9684123025769,1203,40,9,FALSE,4
1,160.9388097233864,315.90779547359597,1193,41,9,FALSE,4
1,138.39847715736042,313.5761421319797,1182,42,9,FALSE,4
1,116.05695142378559,310.2110552763819,1194,43,9,FALSE,4
1,93.45598006644518,307.5531561461794,1204,44,9,FALSE,4
2,71.89089417555373,304.0188679245283,1219,45,9,FALSE,4
1,50.12771285475793,300.1602671118531,1198,46,9,FALSE,4
1,29.183147033533963,296.34393809114357,1163,47,9,FALSE,4
1,13.047018348623853,291.51490825688074,872,48,9,FALSE,4
1,4.3625,285.025,160,49,9,FALSE,4
