id,x,y,size,frame,track,ignore,track_fixed
2,821.8150851581509,7.228710462287105,411,1,1,FALSE,2
1,812.0772058823529,14.79656862745098,816,2,1,FALSE,2
1,801.6894197952219,28.977246871444823,879,3,1,FALSE,2
1,791.2429057888763,43.634506242905786,881,4,1,FALSE,2
1,780.7842046718577,57.98442714126808,899,5,1,FALSE,2
1,771.7392290249433,71.90589569160997,882,6,1,FALSE,2
1,762.7525309336334,84.70191226096738,889,7,1,FALSE,2
1,753.508398656215,97.27771556550952,893,8,1,FALSE,2
1,743.719822812846,110.28349944629015,903,9,1,FALSE,2
1,733.3607666290868,122.46899661781285,887,10,1,FALSE,2
1,723.3322072072073,133.48986486486487,888,11,1,FALSE,2
1,712.1024774774775,144.481981981982,888,12,1,FALSE,2
1,700.8675645342312,155.3726150392817,891,13,1,FALSE,2
1,689.6481069042317,165.60690423162583,898,14,1,FALSE,2
1,678.5525727069352,175.4384787472036,894,15,1,FALSE,2
1,667.0288568257491,184.46392896781353,901,16,1,FALSE,2
1,655.5325112107623,193.68609865470853,892,17,1,FALSE,2
1,643.2968397291196,202.7178329571106,886,18,1,FALSE,2
1,630.8367346938776,211.18934240362813,882,19,1,FALSE,2
1,618.3630057803468,220.5329479768786,865,20,1,FALSE,2
1,604.5527809307605,229.91373439273553,881,21,1,FALSE,2
1,591.8547105561862,238.61975028376844,881,22,1,FALSE,2
1,578.9688195991091,247.0991091314031,898,23,1,FALSE,2
1,566.5530726256983,255.06927374301677,895,24,1,FALSE,2
1,553.3452115812918,263.5489977728285,898,25,1,FALSE,2
1,539.6722222222222,271.22777777777776,900,26,1,FALSE,2
1,525.6223463687151,279.3743016759777,895,27,1,FALSE,2
1,512.1560758082497,286.81270903010034,897,28,1,FALSE,2
1,497.96,294.44,900,29,1,FALSE,2
1,483.89578713968956,301.5388026607539,902,30,1,FALSE,2
1,469.84093437152393,308.51056729699667,899,31,1,FALSE,2
1,455.26381059751975,315.3788049605412,887,32,1,FALSE,2
1,440.161036036036,321.59797297297297,888,33,1,FALSE,2
1,426.24603174603175,328.281179138322,882,34,1,FALSE,2
1,412.9314606741573,334.9370786516854,890,35,1,FALSE,2
1,398.34742857142857,341.848,875,36,1,FALSE,2
1,383.74223245109323,349.17376294591486,869,37,1,FALSE,2
1,369.87793952967525,355.99552071668535,893,38,1,FALSE,2
1,355.30323299888516,362.1850613154961,897,39,1,FALSE,2
1,340.38520971302427,367.91832229580575,906,40,1,FALSE,2
1,325.7066521264995,374.08178844056704,917,41,1,FALSE,2
1,311.04405286343615,380.40969162995594,908,42,1,FALSE,2
1,296.3128555176337,386.6245733788396,879,43,1,FALSE,2
1,281.85407239819006,392.7273755656109,884,44,1,FALSE,2
1,267.29801324503313,399.22185430463577,906,45,1,FALSE,2
1,252.61353211009174,405.95871559633025,872,46,1,FALSE,2
1,240.01013513513513,412.65202702702703,888,47,1,FALSE,2
1,224.6659217877095,419.122905027933,895,48,1,FALSE,2
1,209.15198237885463,425.13656387665196,908,49,1,FALSE,2
1,194.06942889137738,431.71556550951846,893,50,1,FALSE,2
1,179.42937219730942,438.38677130044846,892,51,1,FALSE,2
1,165.40863787375415,445.0487264673311,903,52,1,FALSE,2
1,149.90315315315314,452.0878378378378,888,53,1,FALSE,2
1,133.51187904967603,458.8120950323974,926,54,1,FALSE,2
1,119.28697571743929,466.1203090507726,906,55,1,FALSE,2
1,105.28729281767956,474.1646408839779,905,56,1,FALSE,2
1,91.54741379310344,481.6810344827586,928,57,1,FALSE,2
1,78.3814317673378,489.9742729306488,894,58,1,FALSE,2
1,64.77297297297298,497.88324324324327,925,59,1,FALSE,2
1,51.695216907675196,506.6440489432703,899,60,1,FALSE,2
1,38.11923509561305,515.6670416197975,889,61,1,FALSE,2
1,25.093478260869563,525,920,62,1,FALSE,2
1,13.82282996432818,535.0606420927468,841,63,1,FALSE,2
1,7.043083900226757,544.9297052154195,441,64,1,FALSE,2
